Opponent: stockfish
AI Side: White
Result: 0-1
Moves:
1. b1a3
2. e7e5
3. a1b1
4. d7d5
5. d2d3
6. g8f6
7. e2e3
8. c7c6
9. c1d2
10. b7b5
11. g2g3
12. b5b4
13. f1h3
14. c8h3
15. b2b3
16. h3g2
17. d1e2
18. g2h1
19. e1d1
20. h7h5
21. f2f4
22. e5e4
23. h2h4
24. f6g4
25. c2c4
26. e4d3
27. e2g2
28. h1g2
29. c4d5
30. g2d5
31. d1e1
32. f7f6
33. e1d1
34. g4e3
35. d2e3
36. b8a6
37. e3d2
38. c6c5
39. d2e3
40. f8d6
41. d1d2
42. d8a5
43. d2d3
44. a5a3
45. b1d1
46. a3a2
47. d1b1
48. a2b1
49. d3d2
50. a8d8
51. g1f3
52. b1a2
53. d2d3
54. c5c4
55. b3c4
56. d5e4
57. d3e4
58. a2c2
59. e4d4
60. d6c5
